person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24,70000,RENT,0.0,MEDICAL,C,6425,13.72,0,0.09,N,2
33,44784,RENT,2.0,EDUCATION,D,10000,,1,0.22,N,6
46,102000,RENT,0.0,PERSONAL,C,15000,13.22,0,0.15,Y,17
25,66420,MORTGAGE,1.0,EDUCATION,B,4000,12.18,0,0.06,N,2
24,95000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,15000,12.69,0,0.16,N,2
21,9600,RENT,4.0,HOMEIMPROVEMENT,D,2000,15.99,1,0.21,N,3
29,103089,MORTGAGE,2.0,EDUCATION,A,7000,,0,0.07,N,9
32,202300,MORTGAGE,9.0,MEDICAL,D,25000,14.59,1,0.11,N,7
34,63000,OWN,5.0,VENTURE,G,20500,20.9,1,0.33,Y,8
29,58656,OWN,0.0,EDUCATION,B,8000,11.14,0,0.14,N,6
24,65000,MORTGAGE,8.0,VENTURE,D,7200,17.58,0,0.11,Y,4
27,27000,RENT,11.0,EDUCATION,B,1500,10.36,0,0.06,N,5
33,125000,RENT,0.0,PERSONAL,A,9100,7.88,0,0.07,N,8
26,34000,RENT,2.0,PERSONAL,D,12000,14.96,1,0.35,N,3
31,160000,RENT,1.0,HOMEIMPROVEMENT,C,7500,11.28,0,0.05,N,7
23,34000,OWN,7.0,VENTURE,A,10950,7.29,0,0.32,N,2
22,35000,OWN,1.0,EDUCATION,B,8000,12.69,0,0.23,N,4
25,60000,RENT,8.0,HOMEIMPROVEMENT,D,5000,15.57,0,0.08,N,4
26,52500,MORTGAGE,0.0,PERSONAL,B,15250,9.63,0,0.29,N,2
22,18000,OWN,1.0,DEBTCONSOLIDATION,B,3000,9.96,1,0.17,N,3
28,14400,RENT,0.0,EDUCATION,A,3600,7.9,1,0.25,N,6
25,52000,RENT,9.0,MEDICAL,C,17000,12.98,1,0.33,Y,2
23,28872,OWN,7.0,VENTURE,B,2000,10.37,0,0.07,N,3
22,62050,MORTGAGE,1.0,MEDICAL,C,2000,13.35,1,0.03,Y,4
22,53000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,1000,15.27,0,0.02,Y,4
23,75000,RENT,0.0,VENTURE,B,10000,11.49,0,0.13,N,4
27,83000,MORTGAGE,11.0,VENTURE,C,2500,13.99,0,0.03,Y,8
