person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G
24,70000,0.0,6425,13.72,0,0.09,0,2,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
33,44784,2.0,10000,10.99,1,0.22,0,6,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
46,102000,0.0,15000,13.22,0,0.15,1,17,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
25,66420,1.0,4000,12.18,0,0.06,0,2,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
24,95000,7.0,15000,12.69,0,0.16,0,2,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
21,9600,4.0,2000,15.99,1,0.21,0,3,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
29,103089,2.0,7000,10.99,0,0.07,0,9,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
32,202300,9.0,25000,14.59,1,0.11,0,7,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
34,63000,5.0,20500,20.9,1,0.33,1,8,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
29,58656,0.0,8000,11.14,0,0.14,0,6,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
24,65000,8.0,7200,17.58,0,0.11,1,4,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
27,27000,11.0,1500,10.36,0,0.06,0,5,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
33,125000,0.0,9100,7.88,0,0.07,0,8,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
26,34000,2.0,12000,14.96,1,0.35,0,3,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
31,160000,1.0,7500,11.28,0,0.05,0,7,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
23,34000,7.0,10950,7.29,0,0.32,0,2,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
22,35000,1.0,8000,12.69,0,0.23,0,4,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
25,60000,8.0,5000,15.57,0,0.08,0,4,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
26,52500,0.0,15250,9.63,0,0.29,0,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
22,18000,1.0,3000,9.96,1,0.17,0,3,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
28,14400,0.0,3600,7.9,1,0.25,0,6,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
25,52000,9.0,17000,12.98,1,0.33,1,2,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
23,28872,7.0,2000,10.37,0,0.07,0,3,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
22,62050,1.0,2000,13.35,1,0.03,1,4,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
22,53000,6.0,1000,15.27,0,0.02,1,4,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
23,75000,0.0,10000,11.49,0,0.13,0,4,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
27,83000,11.0,2500,13.99,0,0.03,1,8,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
31,190000,15.0,24000,10.99,0,0.13,0,10,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
